Nazwa produktu	białka	tłuszcze	węglowodany
Koncentrat pomidorowy 30%	5.6	1.5	16.7
Koperek	2.8	0.4	6.1
Kostka rosołowa Rosół z kury z pietruszką i lubczykiem	10	20	10
Krewetka tygrysia	22	0	1
Kukurydza kolba	3.7	1.5	23.4
Kukurydza konserwowa	2.9	1.2	23.6
Kumin (kmin rzymski)	17	22	34
Kurki	1.49	0.53	6.86
Kurkuma	7.8	9.9	65
Len mielony	40	9	3
Len w nasionach	24.5	31	35
Limonka	0.7	0.2	10.5
Liście mięty	3.8	0.94	15
Liść laurowy	7.6	8.4	75
Łosoś smażony	21.2	31.4	4
Łosoś świeży	19.9	13.6	0
Łosoś wędzony	21.5	8.4	0
Magii	2.7	0	1.5
Majeranek	13	7	61
Majonez	1.3	79	2.6
Mak	20.1	42.9	24.7
Mąka kukurydziana	5.9	3	78
Mąka pszenna typ 1850	11.9	2.3	70
Mąka pszenna typ 500	10.1	1.2	74
Mąka pszenna typ 550	10.5	1.6	73
Mąka pszenna typ 750	11.6	1.8	71.3
Makaron bezjajeczny	11	1.6	77.6
Makaron czterojajeczny	13.2	3.4	78.3
Makaron dwujajeczny	12	2.6	76.8
Makaron farfalline pełnoziarnisty z 5 zbóż	14.4	2.5	63.8
Makaron penne pełnoziarnisty	15.2	1.3	68
Makaron rurki (z pszenicy Durum)	12	1.5	72.1
Makaron ryżowy	6.8	0.7	83
Makaron spaghetti razowy	13	2.5	66.5
Mąka ryżowa	7.2	0.7	79.2
Mąka żytnia typ 1400	7.1	2.2	75.3
Mąka żytnia typ 2000	8.1	2.2	74
Mąka żytnia typ 580	5.1	1.5	78.5
Mąka żytnia typ 720	5.9	1.7	77.4
Makrela świeża	18.7	11.9	0
Makrela wędzona	20.7	15.5	0
Maliny	1.3	0.3	12
Mandarynki	0.6	0.2	11.2
Mango	0.5	0.3	17
Marchewka	1	0.2	8.7
Marchewka z groszkiem. mrożonka	2.6	0.3	10.4
Marchewki mini	1	0	9
Maślanka 0.5 %	3.4	0.5	4.7
Masło ekstra	0.7	82.5	0.7
Masło klarowane	0	99	0
Masło orzechowe	26.6	53	8.5
Masło śmietankowe	1.1	73.5	1.1
Melon	0.9	0.3	8.4
Mieszanka mąk gryczanej. ryżowej lub owsianej	11.7	2.7	70.7
Mieszanka warzywna z kurczakiem. ryżem i grzybami chińskimi. mrożonka	4.3	2.4	13.3
Mieszanka ziół	0	0.1	0
Mięta pieprzowa	3.8	0.94	15
Migdały	20	52	20.5
Miks ulubionych warzwy	1.9	0.3	8.8
Mintaj świeży	16.6	0.6	0
